,title,price,link
0,"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-grade Camera  ","16,999",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2MzAyNjgyOTE1MjI5MTc4OjE3MTk1MDA5MDc6c3BfYXRmOjMwMDExODY0NjI2NDgzMjo6MDo6&url=%2FRedmi-Storage-Bezel-Less-Slimmest-Pro-Grade%2Fdp%2FB0CQPGG8KG%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1SQAEFHO42WD4%26dib%3DeyJ2IjoiMSJ9.6eZbYIIZyxIBxbO1IyRzR98MvlUe77MITh5xt1WMook3_mybeYR57hMnOIsDMvq1F5WANJL_DZM_Enh8hiTjBlhouZzmRYPUTRcCf-6tS2aZtT3IHT_6fFeJyZCx9lXDRa4U--VBibOTeqB6-jVbHft3tzGhD3Q4mBpsp93Hl4PPMo1ODU2hg1o0J9NMOzX1aoQSro9EWyV1mILVD7FekXra4BeGM1c6YDYG-XQE7Lo.q74mP0xOlBWVcthU47IyLlNuD-QXxO6fna3V5mKEskQ%26dib_tag%3Dse%26keywords%3Dmobile%26qid%3D1719500907%26sprefix%3Dlaptop%252Caps%252C302%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,Apple iPhone 13 (128GB) - Green  ,"52,999",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2MzAyNjgyOTE1MjI5MTc4OjE3MTk1MDA5MDc6c3BfYXRmOjIwMDM1NTMzNDQwMzk4OjowOjo&url=%2FApple-iPhone-13-128GB-Green%2Fdp%2FB09V4B6K53%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1SQAEFHO42WD4%26dib%3DeyJ2IjoiMSJ9.6eZbYIIZyxIBxbO1IyRzR98MvlUe77MITh5xt1WMook3_mybeYR57hMnOIsDMvq1F5WANJL_DZM_Enh8hiTjBlhouZzmRYPUTRcCf-6tS2aZtT3IHT_6fFeJyZCx9lXDRa4U--VBibOTeqB6-jVbHft3tzGhD3Q4mBpsp93Hl4PPMo1ODU2hg1o0J9NMOzX1aoQSro9EWyV1mILVD7FekXra4BeGM1c6YDYG-XQE7Lo.q74mP0xOlBWVcthU47IyLlNuD-QXxO6fna3V5mKEskQ%26dib_tag%3Dse%26keywords%3Dmobile%26qid%3D1719500907%26sprefix%3Dlaptop%252Caps%252C302%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"iQOO Z7 Pro 5G (Blue Lagoon, 8GB RAM, 256GB Storage) | 3D Curved AMOLED Display | 4nm MediaTek Dimesity 7200 5G Processor | 64MP Aura Light OIS Camera | Segment's Slimmest & Lightest Smartphone  ","23,998",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2MzAyNjgyOTE1MjI5MTc4OjE3MTk1MDA5MDc6c3BfbXRmOjMwMDA2NzAyNjAwNDAzMjo6MDo6&url=%2FiQOO-MediaTek-Dimesity-Processor-Smartphone%2Fdp%2FB07WGPJPR3%2Fref%3Dsr_1_11_sspa%3Fcrid%3D1SQAEFHO42WD4%26dib%3DeyJ2IjoiMSJ9.6eZbYIIZyxIBxbO1IyRzR98MvlUe77MITh5xt1WMook3_mybeYR57hMnOIsDMvq1F5WANJL_DZM_Enh8hiTjBlhouZzmRYPUTRcCf-6tS2aZtT3IHT_6fFeJyZCx9lXDRa4U--VBibOTeqB6-jVbHft3tzGhD3Q4mBpsp93Hl4PPMo1ODU2hg1o0J9NMOzX1aoQSro9EWyV1mILVD7FekXra4BeGM1c6YDYG-XQE7Lo.q74mP0xOlBWVcthU47IyLlNuD-QXxO6fna3V5mKEskQ%26dib_tag%3Dse%26keywords%3Dmobile%26qid%3D1719500907%26sprefix%3Dlaptop%252Caps%252C302%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
3,"Samsung Galaxy F54 5G (Stardust Silver, 256 GB) (8 GB RAM)  ","23,797",https://amazon.in//Samsung-Galaxy-F54-Stardust-Silver/dp/B0CB97SJ6Y/ref=sr_1_77?crid=1SQAEFHO42WD4&dib=eyJ2IjoiMSJ9.K5LwkvmMH4xyX3KDGNyZ1vGV18k1-n_HitQ3Sov8x2ugsGSwZHoBcLarx1nmhYvKzmqVnw-cpkyTmg7rTOQ5P_zRes7fzZOvNgxWb5qJmpWS1N4OjHIxXpvGp33KKw5owY9wW94K90HuUxiPdrBfht0PIKsdQTojEVXT1w3QmHkKOFhAbhablKv75B1LeJd4-dkDB7wB6sU4gOxdrHGh4dVQMgJIQZA-VI057XUgals.pr7Ct_UzqApOz4EVXI1fxEJE6vIFEA0UVFxqDTidfII&dib_tag=se&keywords=mobile&qid=1719500938&sprefix=laptop%2Caps%2C302&sr=8-77
4,"Redmi Note 13 5G (Arctic White, 8GB RAM, 256GB Storage) | 5G Ready | 120Hz Bezel-less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-grade Camera  ","18,999",https://amazon.in//Redmi-Storage-Bezel-Less-Slimmest-Pro-Grade/dp/B0CQPDGYLD/ref=sr_1_78?crid=1SQAEFHO42WD4&dib=eyJ2IjoiMSJ9.K5LwkvmMH4xyX3KDGNyZ1vGV18k1-n_HitQ3Sov8x2ugsGSwZHoBcLarx1nmhYvKzmqVnw-cpkyTmg7rTOQ5P_zRes7fzZOvNgxWb5qJmpWS1N4OjHIxXpvGp33KKw5owY9wW94K90HuUxiPdrBfht0PIKsdQTojEVXT1w3QmHkKOFhAbhablKv75B1LeJd4-dkDB7wB6sU4gOxdrHGh4dVQMgJIQZA-VI057XUgals.pr7Ct_UzqApOz4EVXI1fxEJE6vIFEA0UVFxqDTidfII&dib_tag=se&keywords=mobile&qid=1719500938&sprefix=laptop%2Caps%2C302&sr=8-78
5,"realme NARZO 70x 5G (Ice Blue, 8GB RAM,128GB Storage)|120Hz Ultra Smooth Display|Dimensity 6100+ 6nm 5G|50MP AI Camera|45W Charger in The Box  ","14,999",https://amazon.in//realme-Storage-Display-Dimensity-Charger/dp/B0D3WXQN8N/ref=sr_1_79?crid=1SQAEFHO42WD4&dib=eyJ2IjoiMSJ9.K5LwkvmMH4xyX3KDGNyZ1vGV18k1-n_HitQ3Sov8x2ugsGSwZHoBcLarx1nmhYvKzmqVnw-cpkyTmg7rTOQ5P_zRes7fzZOvNgxWb5qJmpWS1N4OjHIxXpvGp33KKw5owY9wW94K90HuUxiPdrBfht0PIKsdQTojEVXT1w3QmHkKOFhAbhablKv75B1LeJd4-dkDB7wB6sU4gOxdrHGh4dVQMgJIQZA-VI057XUgals.pr7Ct_UzqApOz4EVXI1fxEJE6vIFEA0UVFxqDTidfII&dib_tag=se&keywords=mobile&qid=1719500938&sprefix=laptop%2Caps%2C302&sr=8-79
6,"Redmi 13C 5G (Startrail Silver, 8GB RAM, 256GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display  ","13,999",https://amazon.in//Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX7K9NC/ref=sr_1_80?crid=1SQAEFHO42WD4&dib=eyJ2IjoiMSJ9.K5LwkvmMH4xyX3KDGNyZ1vGV18k1-n_HitQ3Sov8x2ugsGSwZHoBcLarx1nmhYvKzmqVnw-cpkyTmg7rTOQ5P_zRes7fzZOvNgxWb5qJmpWS1N4OjHIxXpvGp33KKw5owY9wW94K90HuUxiPdrBfht0PIKsdQTojEVXT1w3QmHkKOFhAbhablKv75B1LeJd4-dkDB7wB6sU4gOxdrHGh4dVQMgJIQZA-VI057XUgals.pr7Ct_UzqApOz4EVXI1fxEJE6vIFEA0UVFxqDTidfII&dib_tag=se&keywords=mobile&qid=1719500938&sprefix=laptop%2Caps%2C302&sr=8-80
7,"OnePlus 12R (Iron Gray, 8GB RAM, 128GB Storage)  ","39,998",https://amazon.in//OnePlus-Iron-Gray-128GB-Storage/dp/B0CQYMMP94/ref=sr_1_81?crid=1SQAEFHO42WD4&dib=eyJ2IjoiMSJ9.K5LwkvmMH4xyX3KDGNyZ1vGV18k1-n_HitQ3Sov8x2ugsGSwZHoBcLarx1nmhYvKzmqVnw-cpkyTmg7rTOQ5P_zRes7fzZOvNgxWb5qJmpWS1N4OjHIxXpvGp33KKw5owY9wW94K90HuUxiPdrBfht0PIKsdQTojEVXT1w3QmHkKOFhAbhablKv75B1LeJd4-dkDB7wB6sU4gOxdrHGh4dVQMgJIQZA-VI057XUgals.pr7Ct_UzqApOz4EVXI1fxEJE6vIFEA0UVFxqDTidfII&dib_tag=se&keywords=mobile&qid=1719500938&sprefix=laptop%2Caps%2C302&sr=8-81
8,"realme NARZO N65 5G (Deep Green 4GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim 190g Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The box  ","11,499",https://amazon.in//realme-Storage-Chipset-Comfort-Display/dp/B0D3GY8SC1/ref=sr_1_82?crid=1SQAEFHO42WD4&dib=eyJ2IjoiMSJ9.K5LwkvmMH4xyX3KDGNyZ1vGV18k1-n_HitQ3Sov8x2ugsGSwZHoBcLarx1nmhYvKzmqVnw-cpkyTmg7rTOQ5P_zRes7fzZOvNgxWb5qJmpWS1N4OjHIxXpvGp33KKw5owY9wW94K90HuUxiPdrBfht0PIKsdQTojEVXT1w3QmHkKOFhAbhablKv75B1LeJd4-dkDB7wB6sU4gOxdrHGh4dVQMgJIQZA-VI057XUgals.pr7Ct_UzqApOz4EVXI1fxEJE6vIFEA0UVFxqDTidfII&dib_tag=se&keywords=mobile&qid=1719500938&sprefix=laptop%2Caps%2C302&sr=8-82
9,"HONOR X9b 5G (Sunrise Orange, 8GB + 256GB) | India's First Ultra-Bounce Anti-Drop Curved AMOLED Display | 5800mAh Battery | 108MP Primary Camera | without Charger  ","21,999",https://amazon.in//Sunrise-Ultra-Bounce-Anti-Drop-Display-5800mAh/dp/B0CSDQG3JN/ref=sr_1_83?crid=1SQAEFHO42WD4&dib=eyJ2IjoiMSJ9.K5LwkvmMH4xyX3KDGNyZ1vGV18k1-n_HitQ3Sov8x2ugsGSwZHoBcLarx1nmhYvKzmqVnw-cpkyTmg7rTOQ5P_zRes7fzZOvNgxWb5qJmpWS1N4OjHIxXpvGp33KKw5owY9wW94K90HuUxiPdrBfht0PIKsdQTojEVXT1w3QmHkKOFhAbhablKv75B1LeJd4-dkDB7wB6sU4gOxdrHGh4dVQMgJIQZA-VI057XUgals.pr7Ct_UzqApOz4EVXI1fxEJE6vIFEA0UVFxqDTidfII&dib_tag=se&keywords=mobile&qid=1719500938&sprefix=laptop%2Caps%2C302&sr=8-83
